FFG = Grupo Funcional Alimenticio,,,,,,
Sc= Raspador,CF= Colector-filtrador,Cg = Colector-recogedor,,,,
Pr = Depredador,Sh =Fragmentador,,,,,
,,,,,,
Clase,Orden,Familia,Especie,FFG,Abundancia,Distancia_m
Hexapoda,Trichoptera,Helicopsychidae,Helicopsyche_tapadas,Sc,16,0
Hexapoda,Trichoptera,Helicopsychidae,Helicopsyche_tapadas,Sc,8,10
Hexapoda,Trichoptera,Helicopsychidae,Helicopsyche_tapadas,Sc,13,20
Hexapoda,Trichoptera,Helicopsychidae,Helicopsyche_tapadas,Sc,16,30
Hexapoda,Trichoptera,Helicopsychidae,Helicopsyche_tapadas,Sc,3,40
Hexapoda,Trichoptera,Hydropsychidae,Leptonema_viridianum,CF,43,0
Hexapoda,Trichoptera,Hydropsychidae,Leptonema_viridianum,CF,13,10
Hexapoda,Trichoptera,Hydropsychidae,Leptonema_viridianum,CF,15,20
Hexapoda,Trichoptera,Hydropsychidae,Leptonema_viridianum,CF,8,30
Hexapoda,Trichoptera,Hydropsychidae,Leptonema_viridianum,CF,2,40
Hexapoda,Trichoptera,Hydropsychidae,Macronema_fragile,Cg,0,0
Hexapoda,Trichoptera,Hydropsychidae,Macronema_fragile,Cg,2,10
Hexapoda,Trichoptera,Hydropsychidae,Macronema_fragile,Cg,1,20
Hexapoda,Trichoptera,Hydropsychidae,Macronema_fragile,Cg,0,30
Hexapoda,Trichoptera,Hydropsychidae,Macronema_fragile,Cg,0,40
Hexapoda,Trichoptera,Hydropsychidae,Macronstemum_scharfi,CF,107,0
Hexapoda,Trichoptera,Hydropsychidae,Macronstemum_scharfi,CF,56,10
Hexapoda,Trichoptera,Hydropsychidae,Macronstemum_scharfi,CF,34,20
Hexapoda,Trichoptera,Hydropsychidae,Macronstemum_scharfi,CF,26,30
Hexapoda,Trichoptera,Hydropsychidae,Macronstemum_scharfi,CF,13,40
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_franciscana,CF,96,0
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_franciscana,CF,46,10
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_franciscana,CF,81,20
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_franciscana,CF,60,30
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_franciscana,CF,20,40
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_palifera,CF,19,0
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_palifera,CF,5,10
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_palifera,CF,5,20
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_palifera,CF,6,30
Hexapoda,Trichoptera,Hydropsychidae,Smicridea_palifera,CF,2,40
Hexapoda,Trichoptera,Leptoceridae,Nectopsyche_fuscomaculata,Sh,14,0
Hexapoda,Trichoptera,Leptoceridae,Nectopsyche_fuscomaculata,Sh,3,10
Hexapoda,Trichoptera,Leptoceridae,Nectopsyche_fuscomaculata,Sh,4,20
Hexapoda,Trichoptera,Leptoceridae,Nectopsyche_fuscomaculata,Sh,3,30
Hexapoda,Trichoptera,Leptoceridae,Nectopsyche_fuscomaculata,Sh,0,40
Hexapoda,Trichoptera,Leptoceridae,Oecetis_punctipennis,Pr,51,0
Hexapoda,Trichoptera,Leptoceridae,Oecetis_punctipennis,Pr,19,10
Hexapoda,Trichoptera,Leptoceridae,Oecetis_punctipennis,Pr,23,20
Hexapoda,Trichoptera,Leptoceridae,Oecetis_punctipennis,Pr,14,30
Hexapoda,Trichoptera,Leptoceridae,Oecetis_punctipennis,Pr,13,40
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp1,Pr,4,0
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp1,Pr,1,10
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp1,Pr,0,20
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp1,Pr,0,30
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp1,Pr,0,40
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp2,Pr,3,0
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp2,Pr,1,10
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp2,Pr,0,20
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp2,Pr,2,30
Hexapoda,Trichoptera,Leptoceridae,Oecetis_sp2,Pr,0,40
Hexapoda,Trichoptera,Leptoceridae,Triplectidaes_neotropicus,Sh,26,0
Hexapoda,Trichoptera,Leptoceridae,Triplectidaes_neotropicus,Sh,8,10
Hexapoda,Trichoptera,Leptoceridae,Triplectidaes_neotropicus,Sh,10,20
Hexapoda,Trichoptera,Leptoceridae,Triplectidaes_neotropicus,Sh,4,30
Hexapoda,Trichoptera,Leptoceridae,Triplectidaes_neotropicus,Sh,4,40
Hexapoda,Trichoptera,Philopotamidae,Chimarra_sp,Cg,106,0
Hexapoda,Trichoptera,Philopotamidae,Chimarra_sp,Cg,30,10
Hexapoda,Trichoptera,Philopotamidae,Chimarra_sp,Cg,20,20
Hexapoda,Trichoptera,Philopotamidae,Chimarra_sp,Cg,10,30
Hexapoda,Trichoptera,Philopotamidae,Chimarra_sp,Cg,11,40
Hexapoda,Trichoptera,Polycentropodidae,Cernotina_longispina,Pr,72,0
Hexapoda,Trichoptera,Polycentropodidae,Cernotina_longispina,Pr,26,10
Hexapoda,Trichoptera,Polycentropodidae,Cernotina_longispina,Pr,28,20
Hexapoda,Trichoptera,Polycentropodidae,Cernotina_longispina,Pr,20,30
Hexapoda,Trichoptera,Polycentropodidae,Cernotina_longispina,Pr,5,40
Hexapoda,Trichoptera,Polycentropodidae,Polycentropus_sp,Pr,6,0
Hexapoda,Trichoptera,Polycentropodidae,Polycentropus_sp,Pr,3,10
Hexapoda,Trichoptera,Polycentropodidae,Polycentropus_sp,Pr,1,20
Hexapoda,Trichoptera,Polycentropodidae,Polycentropus_sp,Pr,1,30
Hexapoda,Trichoptera,Polycentropodidae,Polycentropus_sp,Pr,2,40
