Genbank_accession,ID,h,Lat,Long,Site
EF215532.1,WA1,1,46.75,-124.08,Washington
EF215533.1,WA2,1,46.75,-124.08,Washington
EF215534.1,WA3,1,46.75,-124.08,Washington
EF215535.1,WA4,2,46.75,-124.08,Washington
EF215536.1,WA5,1,46.75,-124.08,Washington
EF215537.1,WA6,3,46.75,-124.08,Washington
EF215538.1,WA7,2,46.75,-124.08,Washington
EF215539.1,WA8,1,46.75,-124.08,Washington
EF215540.1,WA9,2,46.75,-124.08,Washington
EF215541.1,WA10,4,46.75,-124.08,Washington
EF215542.1,WA11,1,46.75,-124.08,Washington
EF215543.1,WA12,2,46.75,-124.08,Washington
EF215544.1,WA13,1,46.75,-124.08,Washington
EF215545.1,WA14,5,46.75,-124.08,Washington
EF215546.1,WA15,1,46.75,-124.08,Washington
EF215547.1,ORC1,3,43.55,-124.22,Oregon_west
EF215548.1,ORC2,6,43.55,-124.22,Oregon_west
EF215549.1,ORC3,2,43.55,-124.22,Oregon_west
EF215550.1,ORC4,3,43.55,-124.22,Oregon_west
EF215551.1,ORC5,2,43.55,-124.22,Oregon_west
EF215552.1,ORC6,2,43.55,-124.22,Oregon_west
EF215553.1,ORC7,2,43.55,-124.22,Oregon_west
EF215554.1,ORC8,7,43.55,-124.22,Oregon_west
EF215555.1,ORC9,1,43.55,-124.22,Oregon_west
EF215556.1,ORC10,1,43.55,-124.22,Oregon_west
EF215557.1,ORC11,2,43.55,-124.22,Oregon_west
EF215558.1,ORC12,1,43.55,-124.22,Oregon_west
EF215559.1,ORC13,3,43.55,-124.22,Oregon_west
EF215560.1,ORC14,8,43.55,-124.22,Oregon_west
EF215561.1,ORC15,3,43.55,-124.22,Oregon_west
EF215562.1,HUMB1,2,40.63,-124.3,Eel_river_California
EF215563.1,HUMB2,2,40.63,-124.3,Eel_river_California
EF215564.1,HUMB3,1,40.63,-124.3,Eel_river_California
EF215565.1,HUMB4,2,40.63,-124.3,Eel_river_California
EF215566.1,MONT1,2,36.74,-121.8,Salinas_river_California
EF215567.1,MONT2,9,36.74,-121.8,Salinas_river_California
EF215568.1,MONT3,2,36.74,-121.8,Salinas_river_California
EF215569.1,MONT4,2,36.74,-121.8,Salinas_river_California
EF215570.1,SANTB1,2,34.41,-119.88,Devereux_lagoon_California
EF215571.1,SANTB2,1,34.41,-119.88,Devereux_lagoon_California
EF215572.1,SANTB3,1,34.41,-119.88,Devereux_lagoon_California
EF215573.1,SANTB4,10,34.41,-119.88,Devereux_lagoon_California
EF215574.1,SANTB5,2,34.41,-119.88,Devereux_lagoon_California
EF215642.1,TX1,2,26.98,-97.38,Texas
EF215643.1,TX2,2,26.98,-97.38,Texas
EF215644.1,TX3,2,26.98,-97.38,Texas
EF215645.1,TX4,1,26.98,-97.38,Texas
EF215646.1,TX5,1,26.98,-97.38,Texas
EF215647.1,TX6,1,26.98,-97.38,Texas
EF215648.1,TX7,16,26.98,-97.38,Texas
EF215649.1,TX8,15,26.98,-97.38,Texas
EF215650.1,TX9,2,26.98,-97.38,Texas
EF215651.1,TX10,2,26.98,-97.38,Texas
EF215652.1,LA1,1,29.77,-93.46,Louisiana
EF215653.1,LA2,1,29.77,-93.46,Louisiana
EF215654.1,LA3,1,29.77,-93.46,Louisiana
EF215655.1,LA4,1,29.77,-93.46,Louisiana
EF215656.1,LA5,1,29.77,-93.46,Louisiana
EF215657.1,FL1,2,26.67,-82.25,Cayo_Costa_Florida
EF215658.1,FL2,2,26.67,-82.25,Cayo_Costa_Florida
EF215659.1,FL3,1,30.29,-86.73,Santa_Rosa_island_Florida
EF215660.1,FL4,2,30.29,-86.73,Santa_Rosa_island_Florida
EF215661.1,FL5,2,30.29,-86.73,Santa_Rosa_island_Florida
EF215662.1,FL6,2,30.29,-86.73,Santa_Rosa_island_Florida
EF215663.1,FL7,2,30.29,-86.73,Santa_Rosa_island_Florida
EF215664.1,FL8,1,30.29,-86.73,Santa_Rosa_island_Florida
EF215665.1,FL9,1,29.66,-84.95,Saint_George_island_Florida
EF215666.1,FL10,2,29.66,-84.95,Saint_George_island_Florida
EF215667.1,FL11,2,30.2,-86.08,Rose_Mary_beach_Florida
EF215668.1,FL12,2,30.25,-87.37,Big_Lagoon_Florida
EF215669.1,FL13,2,30.23,-87.5,Ono_island_Alabama
EF215670.1,FL14,2,30.23,-87.5,Ono_island_Alabama
EF215671.1,FL15,2,30.23,-87.5,Ono_island_Alabama
EF215689.1,HAIT61,12,18.59,-72.01,Haiti
EF215690.1,HAIT62,2,18.59,-72.01,Haiti
EF215672.1,BERM63,2,32.29,-64.75,Bermuda
EF215673.1,BERM64,2,32.29,-64.75,Bermuda
EF215674.1,BAHA65,18,21.47,-71.13,island_Turks_and_Caicos
EF215675.1,BAHA66,18,21.8,-71.77,Turks_and_Caicos
